29	58	3
29	61	1
29	65	1
29	83	1
29	88	1
29	90	3
29	98	1
29	100	1
29	113	2
29	119	1
29	120	1
29	121	1
29	122	4
29	123	4
29	125	1
29	126	1
29	129	2
29	130	1
29	131	1
29	134	1
39	57	1
39	61	1
39	110	1
39	111	2
39	125	1
39	136	1
39	137	2
57	61	1
57	69	1
57	95	1
57	100	1
57	110	12
57	111	9
57	120	1
57	121	1
57	125	7
57	131	1
57	134	4
57	136	1
57	137	8
58	61	1
58	65	1
58	83	2
58	88	1
58	96	1
58	98	1
58	100	1
58	113	2
58	118	1
58	119	1
58	126	1
58	129	7
58	134	1
58	135	1
61	77	1
61	88	1
61	90	4
61	95	1
61	96	1
61	98	1
61	110	2
61	111	3
61	118	1
61	134	1
61	137	2
65	67	2
65	72	3
65	126	2
65	129	1
65	134	1
67	77	1
67	125	1
67	136	1
69	100	1
69	110	1
69	111	1
69	125	1
69	131	1
69	134	1
69	137	1
72	88	1
72	95	1
72	98	1
72	100	1
72	136	1
77	90	1
83	88	1
83	100	1
83	113	1
83	120	1
83	129	1
86	113	2
86	126	1
86	129	1
88	95	1
88	98	2
88	100	17
88	113	1
88	121	1
88	129	1
88	131	1
88	136	4
90	95	5
90	96	5
90	98	2
90	118	1
90	121	1
90	122	3
90	123	1
90	131	15
90	133	1
95	96	7
95	98	2
95	100	1
95	110	1
95	111	1
95	125	1
95	131	4
95	137	1
96	98	2
96	118	1
96	121	1
96	129	1
96	131	4
98	100	2
98	122	1
98	123	1
98	129	1
98	131	1
98	136	1
100	110	1
100	111	1
100	113	1
100	118	1
100	121	1
100	125	1
100	129	1
100	131	2
100	134	1
100	136	4
100	137	1
110	111	15
110	125	8
110	131	1
110	134	2
110	136	1
110	137	9
111	125	8
111	131	1
111	134	3
111	135	3
111	136	1
111	137	9
113	123	5
113	129	1
113	131	1
113	140	1
118	129	1
119	123	2
119	125	1
119	126	1
119	134	3
119	135	1
119	136	1
119	137	2
121	131	1
121	134	1
121	137	1
122	123	2
123	134	1
125	130	1
125	131	1
125	134	1
125	136	2
125	137	5
126	128	1
126	129	1
126	130	1
126	133	3
126	134	1
126	135	1
129	133	1
129	134	2
129	140	2
131	133	1
131	134	1
131	137	1
133	137	1
133	140	1
134	135	1
134	137	4
134	140	1
135	137	2
136	137	1
