3	13	951820
13	17	418861
9	10	367286
8	12	326854
3	10	289097
3	9	266924
13	15	250985
13	20	242178
16	33	198827
2	8	187450
22	28	184741
15	49	182312
6	12	168422
13	14	148398
3	14	139061
4	12	138140
6	8	136952
4	8	133058
2	6	127360
9	13	126318
2	12	121832
2	4	110921
10	13	105536
12	66	104768
14	146	97516
12	26	97061
13	35	96472
14	17	95457
22	43	94835
14	40	93408
3	6	91663
24	28	90699
28	43	89786
14	20	86989
3	4	82630
3	17	77149
3	3782	75393
12	36	67587
12	239	67573
13	68	67394
15	320	65756
98	110	65669
6	13	65599
9	18	63794
13	49	63553
17	20	61413
8	26	57884
13	3782	57670
6	19	56863
8	19	56663
3	20	55964
24	43	55770
16	1149	55338
4	13	54462
4	19	49679
2	19	49551
6	17	47173
12	437	47030
4	6	46814
15	35	46729
10	18	45262
24	27	44565
12	113	43800
13	19	43636
15	221	42248
12	64	42079
6	16	41879
4	9	41009
27	28	40520
8	66	40498
6	9	38887
3	40	37987
6	26	37641
24	61	37476
28	61	36835
6	117	35697
3	19	35551
17	3782	35503
4	16	35494
3	53	35348
9	77	34857
14	398	34734
35	857	33955
3	18	33329
24	692	33274
4	14	33246
3	1035	32884
15	268	32496
8	143	32478
2	316	32331
14	112	32238
28	692	31638
4	17	31598
27	77	30741
12	145	30030
4	117	29950
28	136	29828
12	306	29519
12	19	29499
6	20	29163
12	50	29020
12	143	28895
43	61	28499
8	14	28375
27	87	27965
8	117	27535
13	1035	27338
13	117	27300
22	24	27295
4	26	27103
8	145	26972
8	239	26961
26	64	26420
9	19	26233
3	117	26202
77	170	26095
3	1034	25932
49	320	25825
20	68	25764
3	199	25691
77	238	25265
3	378	25234
13	40	25168
2	66	24919
28	793	24661
4	10	24028
2	113	23928
2	244	23888
6	14	23878
8	23	23699
43	692	23457
4	149	23153
8	13	23100
16	1099	22872
28	530	22792
8	437	22784
15	1154	22754
27	692	22728
16	351	22636
22	530	22632
13	38	22471
12	485	22416
24	136	22320
12	975	22253
27	170	22204
33	1149	22092
20	110	22083
12	51	21966
8	316	21927
6	10	21713
2	143	21683
8	113	21664
4	27	21644
77	163	21568
8	445	21543
8	20	21387
6	33	21354
13	18	21091
4	20	21011
20	98	20924
4	28	20847
61	141	20575
6	66	20557
2	187	20408
15	3782	20371
2	437	20324
12	316	20295
9	38	20233
127	204	20206
12	640	20049
16	2156	20030
12	858	20004
17	303	19973
13	199	19904
4	22	19865
143	1275	19824
4	33	19774
131	384	19771
2	239	19669
10	38	19610
13	216	19489
8	551	19482
192	375	19424
20	3782	19420
2	137	19354
468	490	19353
20	302	19188
28	77	19179
2	345	19077
16	3698	18933
77	87	18928
170	1269	18874
9	1034	18848
24	217	18716
2	145	18677
8	50	18661
8	51	18567
3	8125	18553
105	143	18430
15	690	18417
28	40	18394
2	26	18354
20	1098	18299
10	14	18124
27	163	18041
27	43	17918
16	1960	17839
347	656	17798
24	77	17794
6	445	17784
4	40	17723
12	1142	17720
66	306	17681
28	170	17495
17	612	17341
2	127	17258
134	839	17244
10	39	17224
15	102	17172
77	487	17170
6	23	17161
9	27	17111
14	1459	17061
28	217	17055
20	216	17026
22	111	16976
4	66	16945
6	143	16904
16	1083	16894
28	111	16865
17	1035	16846
43	136	16800
2	551	16797
10	157	16777
134	345	16581
12	177	16454
87	170	16409
9	39	16404
3	1136	16390
24	170	16356
9	157	16354
13	110	16327
16	1431	16249
16	837	16222
2	445	16107
2	904	16038
3	388	16016
43	111	15987
27	40	15942
4	24	15920
3	27	15910
192	1434	15900
16	68	15811
127	414	15756
8	363	15745
26	66	15736
12	694	15725
9	14	15700
24	87	15662
61	692	15655
35	1494	15627
6	27	15599
8	649	15525
3	38	15444
6	51	15436
33	837	15372
24	793	15334
45	101	15225
13	221	15191
22	692	15107
8	368	15092
8	655	15075
14	216	15043
8	187	15002
13	303	14939
47	65	14850
16	1787	14844
28	163	14818
8	28	14634
68	110	14616
8	137	14568
4	163	14555
27	238	14548
68	2380	14498
4	77	14488
6	28	14462
9	17	14461
3	1331	14459
2	36	14413
12	1188	14406
9	159	14402
2	47	14344
12	452	14340
3	77	14312
10	77	14297
19	117	14283
12	137	14282
2	655	14280
15	17	14243
9	163	14234
6	22	14226
6	149	14216
6	1275	14160
16	201	14159
24	111	14115
8	208	14096
10	70	13980
4	143	13916
27	61	13898
9	238	13875
134	187	13788
14	6707	13730
24	40	13691
2	44	13665
27	553	13621
4	445	13595
13	98	13585
3	912	13528
10	20	13513
13	378	13509
12	208	13458
90	836	13413
2	120	13389
12	186	13365
36	64	13363
17	2783	13334
6	316	13306
19	77	13209
77	412	13148
6	113	13142
2	367	13131
51	76	13108
143	922	13068
2	208	13051
16	131	13031
13	320	12918
24	530	12884
12	76	12787
3	163	12772
104	714	12767
10	159	12748
12	117	12701
22	919	12701
38	68	12699
79	232	12694
24	163	12689
61	217	12659
6	40	12609
8	36	12598
2	363	12571
13	1098	12563
15	857	12555
101	417	12552
3	8	12529
8	1020	12465
2	641	12375
8	244	12368
170	238	12367
2	306	12317
43	530	12315
66	239	12270
9	838	12270
2	51	12224
334	492	12194
8	173	12188
6	1020	12181
20	378	12170
88	712	12136
363	541	12120
28	919	12105
17	19	12098
14	38	12097
9	487	12091
9	40	12003
8	134	11996
27	1269	11979
9	20	11958
43	141	11956
10	107	11947
3	970	11908
12	1086	11901
56	313	11895
102	353	11869
28	87	11866
6	1974	11860
2	368	11836
2	23	11832
185	617	11818
149	153	11810
14	386	11808
49	221	11786
162	566	11775
923	1031	11772
2	1242	11754
6	368	11746
8	694	11737
66	858	11726
316	445	11673
4	170	11668
8	76	11642
154	586	11634
8	1188	11578
111	136	11543
14	1530	11507
8	40	11485
13	1034	11471
8	922	11442
3	107	11430
8	485	11418
51	1095	11398
16	1358	11393
16	215	11386
3	471	11332
281	359	11322
25	280	11315
14	3782	11313
2	50	11301
2	875	11244
2	922	11241
163	170	11227
6	50	11223
12	551	11216
6	24	11212
2	293	11195
13	857	11192
4	43	11190
16	1506	11168
4	368	11157
3	157	11148
49	353	11143
2	1142	11133
17	102	11122
44	756	11120
10	1034	11110
14	27	11107
39	960	11103
13	8125	11099
40	43	11085
98	119	11069
93	173	11065
16	743	11060
8	93	11012
8	179	10989
10	228	10989
24	263	10981
2	450	10980
2	117	10966
127	774	10965
2	1131	10920
9	117	10910
14	43	10889
8	105	10862
127	730	10835
12	1095	10833
8	858	10823
40	77	10821
10	68	10816
24	141	10795
9	484	10753
2	858	10746
2	852	10725
22	1009	10707
8	1142	10705
3	159	10704
6	649	10700
6	64	10656
43	793	10654
51	288	10648
30	2335	10632
10	53	10611
10	19	10611
77	1609	10593
22	141	10582
9	87	10544
71	253	10540
8	306	10539
12	23	10520
6	208	10511
32	65	10511
8	22	10510
6	187	10495
127	1642	10492
77	1034	10477
215	999	10464
77	692	10463
6	173	10452
13	5053	10439
8	1275	10423
2	134	10416
3	838	10406
40	398	10405
12	365	10401
2	649	10383
3	1324	10377
2	65	10360
3	1029	10309
6	76	10297
6	1099	10286
28	1009	10268
119	434	10256
4	187	10233
14	28	10226
9	53	10223
6	77	10215
8	365	10194
8	345	10177
2	204	10176
9	70	10168
9	228	10119
10	17	10117
4	23	10107
13	268	10087
8	120	10086
8	541	10062
13	612	10042
170	1609	9992
12	47	9988
8	64	9962
44	254	9962
231	563	9951
2	1317	9940
90	1111	9894
3	5053	9887
2	173	9871
19	1034	9867
4	551	9866
6	239	9822
8	450	9816
22	77	9789
29	52	9775
12	2614	9772
163	238	9767
13	53	9756
2	694	9740
41	90	9729
12	1996	9691
87	163	9690
28	553	9649
2	1106	9644
51	173	9632
17	146	9622
8	149	9619
2	1279	9614
6	244	9607
2	93	9584
33	2156	9570
179	562	9560
13	102	9557
19	20	9546
14	427	9542
6	551	9527
853	1291	9520
12	1367	9507
163	412	9473
6	163	9466
16	702	9459
2	179	9458
8	875	9448
87	238	9441
356	662	9435
9	107	9434
8	452	9413
13	163	9397
77	1269	9368
68	1302	9360
15	10299	9336
43	77	9329
58	160	9322
12	445	9322
12	105	9305
6	134	9284
252	1003	9246
35	3782	9239
131	897	9235
395	1367	9229
179	363	9220
40	692	9212
13	471	9191
40	386	9179
2	1642	9165
13	146	9163
2	105	9143
2	219	9134
17	371	9121
39	170	9106
51	93	9105
28	263	9094
6	655	9078
13	27	9059
2	1972	9043
110	3115	9039
87	487	9033
10	27	9027
24	919	9016
9	3782	8995
230	415	8950
27	1034	8945
28	141	8928
8	1106	8917
176	476	8904
25	104	8887
17	3739	8885
2	759	8866
15	353	8862
70	157	8846
79	352	8838
127	892	8825
8	47	8823
4	649	8816
1428	1873	8804
4	1020	8799
33	1960	8778
98	782	8770
187	839	8764
6	1188	8762
28	1722	8761
9	247	8749
13	1437	8730
27	263	8723
10	100	8694
77	117	8693
12	922	8685
37	70	8682
25	27	8625
12	1196	8615
136	692	8601
27	217	8595
33	1099	8582
10	247	8582
28	238	8575
158	179	8569
28	412	8539
40	170	8516
12	46	8505
43	87	8503
217	692	8486
18	39	8475
28	117	8473
33	131	8466
170	692	8465
8	1095	8462
127	3859	8437
8	640	8432
2	90	8424
40	87	8417
664	4889	8417
27	136	8399
3	70	8394
9	1324	8394
14	1187	8338
50	464	8335
3	15	8333
13	2783	8327
24	553	8326
6	811	8298
6	15	8297
230	2049	8283
187	345	8267
15	5139	8260
2	220	8259
29	482	8257
