id	label	description	x	y	weight<Total co-citations>	cluster
72	tourism manage	TOURISM MANAGEMENT	0.1377	-0.0833	27	4
73	rand j econ	RAND JOURNAL OF ECONOMICS	-0.3283	-0.0957	90	1
74	environ resour econ	ENVIRONMENTAL & RESOURCE ECONOMICS	-0.3456	-0.3512	99	1
75	econ theor	ECONOMIC THEORY	-0.3811	-0.4236	34	1
76	oper res lett	OPERATIONS RESEARCH LETTERS	0.9789	-0.88	57	3
77	j bus venturing	JOURNAL OF BUSINESS VENTURING	0.4024	0.4908	203	2
78	int j forecasting	INTERNATIONAL JOURNAL OF FORECASTING	-0.4054	-0.2848	72	1
79	j appl econom	JOURNAL OF APPLIED ECONOMETRICS	-0.9453	-0.3982	92	1
80	j money credit bank	JOURNAL OF MONEY CREDIT AND BANKING	-0.8084	-0.1058	162	1
81	ann oper res	ANNALS OF OPERATIONS RESEARCH	0.8098	-0.8076	62	3
82	entrep theory pract	ENTREPRENEURSHIP THEORY AND PRACTICE	0.5874	0.5719	163	2
83	iie trans	IIE TRANSACTIONS	0.994	-0.6064	103	3
84	j dev econ	JOURNAL OF DEVELOPMENT ECONOMICS	-0.7227	-0.1695	93	1
85	j urban econ	JOURNAL OF URBAN ECONOMICS	-0.3849	-0.2908	67	1
86	j manage inform syst	JOURNAL OF MANAGEMENT INFORMATION SYSTEMS	1.1893	0.0293	144	4
87	j eur econ assoc	JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION	-0.8436	-0.2126	127	1
88	energ econ	ENERGY ECONOMICS	-0.5221	-0.2784	54	1
89	j hum resour	JOURNAL OF HUMAN RESOURCES	-0.6352	-0.1823	75	1
90	j econ dyn control	JOURNAL OF ECONOMIC DYNAMICS & CONTROL	-0.6038	-0.4565	81	1
91	admin sci quart	ADMINISTRATIVE SCIENCE QUARTERLY	0.6999	0.7521	154	2
92	j econ geogr	JOURNAL OF ECONOMIC GEOGRAPHY	-0.3129	-0.026	58	1
93	economet theor	ECONOMETRIC THEORY	-0.6307	-0.2906	50	1
94	leadership quart	LEADERSHIP QUARTERLY	0.7693	0.6248	81	2
95	ind market manag	INDUSTRIAL MARKETING MANAGEMENT	0.8871	0.1654	127	4
96	hum relat	HUMAN RELATIONS	0.7144	0.8408	81	2
97	j oper manag	JOURNAL OF OPERATIONS MANAGEMENT	1.0438	-0.1905	141	3
98	int j hum resour man	INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT	0.6519	0.5006	79	2
99	organization	ORGANIZATION	0.5943	0.8102	65	2
100	j financ quant anal	JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS	-0.5718	0.4633	123	5
101	psychol market	PSYCHOLOGY & MARKETING	0.4949	0.0444	64	4
102	j int money financ	JOURNAL OF INTERNATIONAL MONEY AND FINANCE	-0.9437	-0.2358	85	1
103	transport sci	TRANSPORTATION SCIENCE	0.7422	-0.7432	61	3
104	int j oper prod man	INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT	0.9772	-0.0235	133	3
105	j account res	JOURNAL OF ACCOUNTING RESEARCH	-0.97	0.8847	142	5
106	int econ rev	INTERNATIONAL ECONOMIC REVIEW	-0.8349	-0.3051	84	1
107	j corp financ	JOURNAL OF CORPORATE FINANCE	-0.8065	0.6181	102	5
108	econ soc	ECONOMY AND SOCIETY	-0.1198	0.0661	37	1
109	inform syst res	INFORMATION SYSTEMS RESEARCH	1.0575	-0.1671	107	4
110	j labor econ	JOURNAL OF LABOR ECONOMICS	-0.4532	-0.0703	52	1
111	world econ	WORLD ECONOMY	-0.7125	-0.1443	31	1
112	appl econ lett	APPLIED ECONOMICS LETTERS	-0.5913	-0.3114	47	1
113	rev int polit econ	REVIEW OF INTERNATIONAL POLITICAL ECONOMY	-0.1762	0.0493	57	1
114	can j econ	CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE	-0.733	-0.2632	81	1
115	ind corp change	INDUSTRIAL AND CORPORATE CHANGE	-0.0992	0.2249	132	1
116	prod oper manag	PRODUCTION AND OPERATIONS MANAGEMENT	0.8468	-0.2311	94	3
117	brit j manage	BRITISH JOURNAL OF MANAGEMENT	0.2105	0.5747	102	2
118	futures	FUTURES	0.0487	0.1478	19	1
119	energ j	ENERGY JOURNAL	-0.3207	-0.2198	51	1
120	j econ psychol	JOURNAL OF ECONOMIC PSYCHOLOGY	0.097	-0.2396	67	4
121	acad manage exec	ACADEMY OF MANAGEMENT EXECUTIVE	0.7694	0.5293	101	2
122	public choice	PUBLIC CHOICE	-0.3032	-0.217	39	1
123	oxford b econ stat	OXFORD BULLETIN OF ECONOMICS AND STATISTICS	-0.6983	-0.2596	65	1
124	j econ manage strat	JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY	-0.3734	-0.1657	56	1
125	j acad market sci	JOURNAL OF THE ACADEMY OF MARKETING SCIENCE	0.7995	0.1602	108	4
126	j bus econ stat	JOURNAL OF BUSINESS & ECONOMIC STATISTICS	-0.8499	-0.3644	56	1
127	mit sloan manage rev	MIT SLOAN MANAGEMENT REVIEW	0.9249	0.246	86	2
128	reg sci urban econ	REGIONAL SCIENCE AND URBAN ECONOMICS	-0.1803	-0.4085	47	1
129	rev econ dynam	REVIEW OF ECONOMIC DYNAMICS	-0.9594	-0.4213	102	1
130	j dev stud	JOURNAL OF DEVELOPMENT STUDIES	-0.587	-0.1221	20	1
131	land econ	LAND ECONOMICS	-0.181	-0.3595	39	1
132	j consum psychol	JOURNAL OF CONSUMER PSYCHOLOGY	0.5135	0.1125	42	4
133	corp gov	CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW	-0.348	0.4897	101	5
134	fed reserve bank st	FEDERAL RESERVE BANK OF ST LOUIS REVIEW	-0.6623	-0.2168	54	1
135	food policy	FOOD POLICY	-0.0706	-0.0217	19	1
