id	label	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<No. co-authored pubs>
grid.264784.b	Texas Tech University	http://en.wikipedia.org/wiki/Texas_Tech_University	-0.5644	0.2432	1	1371	5990	10638
grid.264889.9	College of William & Mary	http://en.wikipedia.org/wiki/College_of_William_%26_Mary	-0.3172	0.3313	1	957	2938	5289
grid.265008.9	Thomas Jefferson University	http://en.wikipedia.org/wiki/Thomas_Jefferson_University	0.0598	0.895	1	1325	7242	13866
grid.265021.2	Tianjin Medical University	https://en.wikipedia.org/wiki/Tianjin_Medical_University	-0.908	-0.1915	2	946	1921	4692
grid.265025.6	Tianjin University of Technology		-0.9543	-0.2562	2	330	1955	4544
grid.265050.4	Toho University	http://en.wikipedia.org/wiki/Toho_University	-0.8097	-0.804	4	1048	2870	5342
grid.265061.6	Tokai University	http://en.wikipedia.org/wiki/Tokai_University	-0.7933	-0.7779	4	1251	4668	9944
grid.265073.5	Tokyo Medical and Dental University	http://en.wikipedia.org/wiki/Tokyo_Medical_and_Dental_University	-0.7813	-0.8045	4	1252	6267	12214
grid.265074.2	Tokyo Metropolitan University	http://en.wikipedia.org/wiki/Tokyo_Metropolitan_University	-0.5373	-0.657	4	926	5395	9278
grid.265107.7	Tottori University	http://en.wikipedia.org/wiki/Tottori_University	-0.8552	-0.7705	4	968	2890	7113
grid.265219.b	Tulane University	http://en.wikipedia.org/wiki/Tulane_University	-0.3165	0.6745	1	1492	7447	13775
grid.265234.4	Tunis University	http://en.wikipedia.org/wiki/Tunis_University	0.9915	-0.3463	8	408	1085	3168
grid.265436.0	Uniformed Services University of the Health Sciences	https://en.wikipedia.org/wiki/Uniformed_Services_University_of_the_Health_Sciences	0.0675	0.9606	1	1204	4663	7987
grid.265850.c	"University at Albany, State University of New York"	"http://en.wikipedia.org/wiki/University_at_Albany,_SUNY"	-0.1873	0.3566	1	1216	3989	7488
grid.265881.0	University of Akron	http://en.wikipedia.org/wiki/University_of_Akron	-0.6273	0.4768	1	950	3239	6825
grid.265892.2	University of Alabama at Birmingham	http://en.wikipedia.org/wiki/University_of_Alabama_at_Birmingham	-0.1801	0.7516	1	1628	19318	35106
grid.265893.3	University of Alabama in Huntsville	http://en.wikipedia.org/wiki/University_of_Alabama_in_Huntsville	-0.348	0.0779	1	840	1568	3151
grid.266093.8	"University of California, Irvine"	"http://en.wikipedia.org/wiki/University_of_California,_Irvine"	-0.0305	0.3677	1	1835	21788	38908
grid.266096.d	"University of California, Merced"	"http://en.wikipedia.org/wiki/University_of_California,_Merced"	-0.2612	0.2713	1	865	2321	3730
grid.266097.c	"University of California, Riverside"	"http://en.wikipedia.org/wiki/University_of_California,_Riverside"	-0.3265	0.1069	1	1606	10323	17813
grid.266100.3	"University of California, San Diego"	"http://en.wikipedia.org/wiki/University_of_California,_San_Diego"	0.0452	0.407	1	1879	40810	68209
grid.266102.1	"University of California, San Francisco"	"http://en.wikipedia.org/wiki/University_of_California,_San_Francisco"	0.0814	0.6035	1	1696	39954	66895
grid.266190.a	University of Colorado Boulder	http://en.wikipedia.org/wiki/University_of_Colorado_Boulder	-0.1666	0.2446	1	1615	16402	26765
grid.266231.2	University of Dayton	http://en.wikipedia.org/wiki/University_of_Dayton	-0.5817	0.5758	1	656	1837	3784
grid.266239.a	University of Denver	http://en.wikipedia.org/wiki/University_of_Denver	-0.2879	0.4078	1	952	2432	4814
grid.266298.1	University of Electro-Communications	http://en.wikipedia.org/wiki/University_of_Electro-Communications	-0.5541	-0.6846	4	613	3603	7241
grid.266436.3	University of Houston	http://en.wikipedia.org/wiki/University_of_Houston	-0.4509	0.4849	1	1604	9943	18264
grid.266456.5	University of Idaho	http://en.wikipedia.org/wiki/University_of_Idaho	-0.4428	0.3162	1	1189	3681	6611
grid.266515.3	University of Kansas	http://en.wikipedia.org/wiki/University_of_Kansas	-0.3301	0.5423	1	1580	10360	19657
grid.266539.d	University of Kentucky	http://en.wikipedia.org/wiki/University_of_Kentucky	-0.4629	0.6339	1	1741	14029	28899
grid.266623.5	University of Louisville	http://en.wikipedia.org/wiki/University_of_Louisville	-0.3492	0.656	1	1560	8189	17611
grid.266673.0	"University of Maryland, Baltimore County"	"http://en.wikipedia.org/wiki/University_of_Maryland,_Baltimore_County"	-0.1799	0.2124	1	980	3021	4944
grid.266683.f	University of Massachusetts Amherst	http://en.wikipedia.org/wiki/University_of_Massachusetts_Amherst	-0.1736	0.1699	1	1542	10547	18670
grid.266685.9	University of Massachusetts Boston	http://en.wikipedia.org/wiki/University_of_Massachusetts_Boston	-0.1351	0.4266	1	836	2142	3946
grid.266756.6	University of Missouri-Kansas City	http://en.wikipedia.org/wiki/University_of_Missouri%E2%80%93Kansas_City	-0.4667	0.7447	1	1164	3005	6569
grid.266813.8	University of Nebraska Medical Center	http://en.wikipedia.org/wiki/University_of_Nebraska_Medical_Center	-0.3629	0.7076	1	1320	6005	11627
grid.266815.e	University of Nebraska at Omaha	http://en.wikipedia.org/wiki/University_of_Nebraska_Omaha	-0.5651	0.6203	1	743	1847	3136
grid.266818.3	University of Nevada Reno	"http://en.wikipedia.org/wiki/University_of_Nevada,_Reno"	-0.2794	0.2493	1	1331	4290	8262
grid.266820.8	University of New Brunswick	http://en.wikipedia.org/wiki/University_of_New_Brunswick	-0.2562	-0.105	14	972	3271	6433
grid.266832.b	University of New Mexico	http://en.wikipedia.org/wiki/University_of_New_Mexico	-0.1462	0.3857	1	1647	11593	19104
grid.266842.c	University of Newcastle Australia	http://en.wikipedia.org/wiki/University_of_Newcastle_(Australia)	-0.2441	-0.3944	13	1592	9026	15788
grid.266859.6	University of North Carolina at Charlotte	http://en.wikipedia.org/wiki/University_of_North_Carolina_at_Charlotte	-0.5915	0.5083	1	980	3505	7878
grid.266860.c	University of North Carolina at Greensboro	http://en.wikipedia.org/wiki/University_of_North_Carolina_at_Greensboro	-0.4993	0.6859	1	885	2267	4597
grid.266862.e	University of North Dakota	http://en.wikipedia.org/wiki/University_of_North_Dakota	-0.3231	0.4599	1	1157	2040	4717
grid.266869.5	University of North Texas	http://en.wikipedia.org/wiki/University_of_North_Texas	-0.5113	0.2987	1	1225	4505	9243
grid.266900.b	University of Oklahoma	http://en.wikipedia.org/wiki/University_of_Oklahoma	-0.4333	0.353	1	1460	8496	15878
grid.266902.9	University of Oklahoma Health Sciences Center	https://en.wikipedia.org/wiki/University_of_Oklahoma_Health_Sciences_Center	-0.287	0.7328	1	1197	3785	7360
grid.266904.f	University of Ontario Institute of Technology	http://en.wikipedia.org/wiki/University_of_Ontario_Institute_of_Technology	-0.2056	-0.1558	14	586	2211	4474
grid.267033.3	University of Puerto Rico System	http://en.wikipedia.org/wiki/University_of_Puerto_Rico	-0.1734	0.5784	1	959	2068	3961
grid.267134.5	University of Seoul	http://en.wikipedia.org/wiki/University_of_Seoul	-0.8085	0.5091	11	706	2596	3970
grid.267139.8	University of Shanghai for Science and Technology	http://en.wikipedia.org/wiki/University_of_Shanghai_for_Science_and_Technology	-0.7844	-0.2141	2	594	2690	5706
grid.267153.4	University of South Alabama	http://en.wikipedia.org/wiki/University_of_South_Alabama	-0.4758	0.673	1	872	1655	3500
grid.267193.8	University of Southern Mississippi	http://en.wikipedia.org/wiki/University_of_Southern_Mississippi	-0.5588	0.529	1	749	1596	3409
grid.267301.1	University of Tennessee Health Science Center	https://en.wikipedia.org/wiki/University_of_Tennessee_Health_Science_Center	-0.2258	0.8665	1	1180	4918	8616
grid.267308.8	The University of Texas Health Science Center at Houston	https://en.wikipedia.org/wiki/University_of_Texas_Health_Science_Center_at_Houston	-0.058	0.972	1	1537	12172	19212
grid.267309.9	The University of Texas Health Science Center at San Antonio	https://en.wikipedia.org/wiki/University_of_Texas_Health_Science_Center_at_San_Antonio	-0.1074	0.813	1	1391	7910	13445
grid.267313.2	The University of Texas Southwestern Medical Center	https://en.wikipedia.org/wiki/University_of_Texas_Southwestern_Medical_Center	-0.0567	0.8059	1	1497	14058	26629
grid.267315.4	The University of Texas at Arlington	http://en.wikipedia.org/wiki/University_of_Texas_at_Arlington	-0.4683	0.1388	1	1327	6294	11124
grid.267323.1	The University of Texas at Dallas	http://en.wikipedia.org/wiki/University_of_Texas_at_Dallas	-0.4387	0.1081	1	1474	7377	12357
grid.267324.6	The University of Texas at El Paso	http://en.wikipedia.org/wiki/University_of_Texas_at_El_Paso	-0.4054	0.2776	1	995	2821	5371
grid.267335.6	University of Tokushima	http://en.wikipedia.org/wiki/University_of_Tokushima	-0.8187	-0.7409	4	1238	4560	10865
grid.267337.4	University of Toledo	http://en.wikipedia.org/wiki/University_of_Toledo	-0.5096	0.642	1	1284	3756	8035
grid.267346.2	University of Toyama	http://en.wikipedia.org/wiki/University_of_Toyama	-0.8048	-0.7156	4	1178	4125	8600
grid.267370.7	University of Ulsan	http://en.wikipedia.org/wiki/University_of_Ulsan	-1.0789	0.5996	11	1207	4993	8988
grid.267455.7	University of Windsor	http://en.wikipedia.org/wiki/University_of_Windsor	-0.3588	-0.0099	14	937	2790	6565
grid.267468.9	University of Wisconsin-Milwaukee	http://en.wikipedia.org/wiki/University_of_Wisconsin%E2%80%93Milwaukee	-0.3607	0.4743	1	1305	5163	9878
grid.267500.6	University of Yamanashi	http://en.wikipedia.org/wiki/University_of_Yamanashi	-0.7952	-0.6947	4	687	2558	6046
grid.267625.2	University of the Ryukyus	http://en.wikipedia.org/wiki/University_of_the_Ryukyus	-0.8915	-0.6937	4	819	3330	6058
grid.267827.e	Victoria University of Wellington	http://en.wikipedia.org/wiki/Victoria_University_of_Wellington	-0.134	-0.2892	13	1211	4423	8900
grid.267871.d	Villanova University		-0.3408	0.4598	1	734	1501	3602
grid.26790.3a	University of Miami	http://en.wikipedia.org/wiki/University_of_Miami	-0.0742	0.5761	1	1706	16146	29960
grid.268099.c	Wenzhou Medical College	https://en.wikipedia.org/wiki/Wenzhou_Medical_College	-0.6945	0.0342	2	777	2623	5225
grid.26811.3c	Miguel Hernandez University	http://en.wikipedia.org/wiki/Miguel_Hern%C3%A1ndez_University_of_Elche	0.9131	0.4101	7	978	2438	4629
grid.268154.c	West Virginia University	http://en.wikipedia.org/wiki/West_Virginia_University	-0.4346	0.5579	1	1515	6649	13980
grid.268187.2	Western Michigan University	http://en.wikipedia.org/wiki/Western_Michigan_University	-0.4302	0.3953	1	867	1824	4088
grid.268252.9	Wilfrid Laurier University	http://en.wikipedia.org/wiki/Wilfrid_Laurier_University	-0.3117	0.0061	14	658	2135	3834
grid.268323.e	Worcester Polytechnic Institute	https://en.wikipedia.org/wiki/Worcester_Polytechnic_Institute	-0.1804	0.2814	1	780	2145	4429
grid.268333.f	Wright State University	http://en.wikipedia.org/wiki/Wright_State_University	-0.5405	0.5971	1	957	2994	6381
grid.268394.2	Yamagata University	http://en.wikipedia.org/wiki/Yamagata_University	-0.8214	-0.6013	4	1054	4030	7862
