id	label	x	y	cluster	weight<No. of pubs>	weight<No. of cits>
104	Journal of Polymer Science Part A Polymer Chemistry	1.2115	0.1342	4	16570	102026
105	European Journal of Immunology	-0.1688	0.761	2	16149	121269
106	Zeitschrift für anorganische und allgemeine Chemie	1.3322	0.3036	4	16033	35661
107	Ferroelectrics	1.4714	0.0225	4	16021	49716
108	Journal of Food Science	0.5365	0.4688	3	15777	86539
109	Journal of the American Geriatrics Society	-0.5536	-0.0039	2	15755	148126
110	Physics of Fluids	0.8467	-0.4495	5	15609	161933
111	European Journal of Organic Chemistry	1.3149	0.3441	4	15480	83015
112	International Journal of Quantum Chemistry	1.445	0.2764	4	15452	50577
113	Oncogene	-0.164	0.7731	2	15448	276460
114	Environmental Toxicology and Chemistry	0.6084	0.2771	3	15446	60342
115	Clinical Science	-0.3032	0.4936	2	15427	53925
116	Critical Care	-0.3832	0.4489	2	15414	48038
117	Nature Communications	0.9302	0.5575	6	15381	191008
118	Applied Microbiology and Biotechnology	0.5715	0.4979	3	15242	115595
119	AIAA Journal	0.8354	-0.451	5	15212	124135
120	Nature Biotechnology	0.2786	0.6396	6	15171	205505
121	Synthetic Communications	1.2842	0.3249	4	15113	44014
122	Advances in Intelligent Systems and Computing	0.2848	-0.5322	5	15016	2007
123	BJOG An International Journal of Obstetrics & Gynaecology	-0.3699	0.4317	2	15000	100419
124	American Journal of Medical Genetics	-0.3187	0.5268	2	14941	74207
125	Astrophysics and Space Science	1.2672	-0.5363	7	14855	20597
126	Digestive Diseases and Sciences	-0.3607	0.6343	2	14833	65768
127	Ecology	0.5751	0.2617	3	14759	288524
128	BMJ Case Reports	-0.3691	0.5346	2	14749	3343
129	Electrophoresis	0.7838	0.4149	4	14732	80902
130	Thorax	-0.3466	0.4352	2	14667	72872
131	Water Resources Research	0.6456	-0.0471	3	14601	190103
132	Developmental Medicine & Child Neurology	-0.5961	-0.0402	2	14560	51324
133	Biotechnology and Bioengineering	0.5916	0.4959	3	14428	96833
134	Evolution	0.5291	0.3018	3	14343	191803
135	Microbiology	0.5023	0.5334	3	14237	82347
136	Organic & Biomolecular Chemistry	1.3119	0.3612	4	14232	91523
137	Nature Medicine	-0.1852	0.6779	2	14164	277379
138	Annals of Neurology	-0.4312	0.3944	2	14113	177908
139	British Journal of Ophthalmology	-0.4366	0.6358	2	13818	59322
141	European Journal of Inorganic Chemistry	1.3494	0.3075	4	13629	64252
142	BJU International	-0.3474	0.5474	2	13624	67972
143	Journal of Experimental Medicine	-0.1743	0.7588	2	13579	396721
144	Proceedings of the International Astronomical Union	1.263	-0.5341	7	13530	443
145	Molecular Microbiology	0.3979	0.6752	6	13449	180820
146	Molecular Physics	1.4797	0.2513	4	13416	104907
147	The International Journal of Advanced Manufacturing Technology	0.7348	-0.42	5	13394	53885
148	Journal of the Operational Research Society	0.215	-0.5879	5	13337	26297
149	Behavioral and Brain Sciences	-0.7349	-0.4018	1	13307	50374
151	Analytical and Bioanalytical Chemistry	0.8137	0.3808	4	13203	81406
152	Journal of Fish Biology	0.5414	0.2694	3	13063	66590
153	Experimental Brain Research	-0.5083	0.0862	2	12912	105829
154	Psychopharmacology	-0.5207	0.1019	2	12908	104174
155	Journal of Thermal Analysis and Calorimetry	1.1965	0.1316	4	12889	42643
156	Journal of the Science of Food and Agriculture	0.5367	0.4661	3	12839	54640
157	Journal of Materials Research	1.3462	0.0087	4	12821	77822
158	Plant and Soil	0.6032	0.3515	3	12782	109429
159	Applied Physics A	1.4033	0.0295	4	12698	51281
160	Journal of the European Academy of Dermatology and Venereology	-0.2782	0.6011	2	12574	25188
161	The Journal of Asian Studies	-0.5345	-0.5704	1	12534	4245
162	Transfusion	-0.3034	0.634	2	12517	70847
163	Nanoscale	1.5049	0.1665	4	12515	118813
164	Journal of Clinical Pathology	-0.3176	0.6237	2	12508	47138
165	Surgical Endoscopy	-0.3868	0.5682	2	12442	67529
166	International Journal of Dermatology	-0.2793	0.6009	2	12430	29589
167	The Journal of Laryngology & Otology	-0.4748	0.4843	2	12409	24471
168	BioMed Research International	-0.2044	0.5727	2	12370	22635
169	Epilepsia	-0.431	0.3775	2	12351	84769
170	Journal of Materials Chemistry A	1.5191	0.1582	4	12348	106251
171	ANZ Journal of Surgery	-0.3903	0.5586	2	12324	17217
172	Pacing and Clinical Electrophysiology	-0.357	0.4887	2	12264	40394
173	European Journal of Neuroscience	-0.3303	0.2991	2	12260	116369
174	Bioscience Biotechnology and Biochemistry	0.5242	0.5065	3	12187	45430
175	Journal of the American Statistical Association	0.1389	-0.5398	5	12086	103645
176	Journal of Advanced Nursing	-0.609	-0.2353	1	12073	95530
177	Journal of Cellular Physiology	-0.129	0.7033	2	11973	83295
178	Proceedings of the Human Factors and Ergonomics Society Annual Meeting	-0.5025	-0.4299	1	11958	4983
179	New Phytologist	0.6037	0.3699	3	11923	157141
180	Sensors	0.6126	-0.3181	5	11877	48632
181	Encyclopedia of Cancer	-0.212	0.7651	2	11865	226
182	Alcoholism Clinical and Experimental Research	-0.5546	-0.0339	2	11792	72154
183	American Anthropologist	-0.5415	-0.5339	1	11775	20098
184	Academic Emergency Medicine	-0.4251	0.3309	2	11748	26969
185	Rapid Communications in Mass Spectrometry	0.8176	0.4207	4	11743	59853
186	Journal of Cellular Biochemistry	-0.1169	0.7011	2	11741	69662
187	Proceedings of The Royal Society B Biological Sciences	0.5111	0.268	3	11706	213326
188	AIChE Journal	1.0807	0.1337	4	11692	48707
189	Physiologia Plantarum	0.5979	0.3981	3	11646	59855
190	Science Signaling	-0.0004	0.868	6	11622	25023
191	Intensive Care Medicine	-0.3831	0.4481	2	11583	67353
192	Magnetic Resonance in Medicine	-0.3781	0.5273	2	11582	132727
194	Molecules	0.581	0.518	4	11536	49250
195	Journal of Heterocyclic Chemistry	1.2831	0.3243	4	11532	26971
196	Infection Control and Hospital Epidemiology	-0.3265	0.4294	2	11527	37897
197	World Journal of Surgery	-0.3847	0.5698	2	11520	53587
198	Lecture Notes in Mathematics	0.6712	-0.6064	5	11472	19398
199	International Journal of Modern Physics B	1.5168	-0.2788	7	11468	23493
200	Journal of Nuclear Science and Technology	1.0964	0.1703	4	11435	12018
201	Quarterly Journal of the Royal Meteorological Society	0.6773	-0.0701	3	11393	49320
202	Addiction	-0.6295	-0.3212	1	11391	92293
203	Photochemistry and Photobiology	0.3534	0.5511	4	11391	45508
204	Oecologia	0.5738	0.2837	3	11390	183909
205	Clinical Pharmacology & Therapeutics	-0.2273	0.4818	2	11366	84832
206	Muscle & Nerve	-0.4198	0.4312	2	11363	48243
207	Phosphorus Sulfur and Silicon and the Related Elements	1.2862	0.3227	4	11355	18009
208	International Journal of Molecular Sciences	0.0737	0.6434	2	11305	49710
209	Recueil des Travaux Chimiques des Pays-Bas	1.2846	0.3235	4	11295	20138
210	American Political Science Review	-0.5429	-0.5946	1	11218	68938
211	Statistics in Medicine	-0.0863	-0.2414	5	11114	98127
212	Journal of Materials Science Letters	1.2732	0.009	4	11107	19306
213	Journal of Neuroscience Research	-0.1673	0.5813	2	11018	70032
214	Postgraduate Medical Journal	-0.3763	0.4551	2	10997	19264
215	International Journal of Remote Sensing	0.6415	-0.0527	3	10985	80605
216	Soft Matter	1.2707	0.1383	4	10981	92710
217	CrystEngComm	1.3736	0.2854	4	10979	74831
218	Environmental Science and Pollution Research	0.6378	0.2739	3	10959	29494
219	BMC Public Health	-0.5521	-0.1501	1	10949	73789
220	Diabetologia	-0.3119	0.4736	2	10928	121805
221	International Journal of Modern Physics A	1.5783	-0.7009	7	10917	40885
222	Bulletin of Environmental Contamination and Toxicology	0.6124	0.2941	3	10909	27214
223	International Journal for Numerical Methods in Engineering	0.78	-0.44	5	10833	60861
224	Communications in Algebra	0.6703	-0.608	5	10827	20550
225	Acta Obstetricia Et Gynecologica Scandinavica	-0.3706	0.4274	2	10785	32753
226	Russian Chemical Bulletin	1.2827	0.3161	4	10749	10300
227	British Journal of Clinical Pharmacology	-0.2611	0.462	2	10697	75215
228	Journal of Electronic Materials	1.4378	0.0193	4	10678	35331
229	Journal of Pharmacy and Pharmacology	0.0063	0.5586	2	10659	44138
230	Theoretical and Applied Genetics	0.5787	0.4038	3	10654	104642
231	Molecular Crystals and Liquid Crystals	1.4583	0.0933	4	10644	33149
232	Leukemia & Lymphoma	-0.298	0.6684	2	10582	35536
234	Chinese Science Bulletin	0.705	-0.0119	3	10483	22902
235	Angewandte Chemie International Edition in English	1.306	0.3162	4	10468	88350
236	Ibis	0.5321	0.251	3	10449	22413
237	British Journal Of Nutrition	-0.1072	0.4286	2	10437	88395
238	Advanced Functional Materials	1.4957	0.1486	4	10417	186093
239	The EMBO Journal	0.0948	0.8314	6	10366	320374
240	Water Air & Soil Pollution	0.6537	0.2633	3	10355	38194
241	Chromatographia	0.8447	0.3654	4	10330	20818
242	Journal of Mathematical Sciences	0.6717	-0.605	5	10327	3912
243	Cell and Tissue Research	-0.0884	0.6187	2	10308	53290
244	BMC Genomics	0.3662	0.5928	3	10258	102635
246	The Annals of Pharmacotherapy	-0.3448	0.4173	2	10209	32893
247	Journal of Materials Science Materials in Electronics	1.4218	0.0392	4	10177	16086
248	Chemistry of Heterocyclic Compounds	1.2831	0.3233	4	10156	6418
249	Communication in Statistics- Theory and Methods	0.142	-0.5424	5	10152	23332
250	physica status solidi (c)	1.4856	0.0149	4	10151	11717
251	JOM	1.2598	-0.0288	4	10103	15488
252	Metallurgical and Materials Transactions A	1.2606	-0.029	4	10082	45312
253	Scandinavian Journal of Gastroenterology	-0.3607	0.6361	2	10053	45141
254	Journal of Gastroenterology and Hepatology	-0.3596	0.6427	2	10042	40509
255	Movement Disorders	-0.457	0.3525	2	9972	81003
256	American Journal of Hematology	-0.3006	0.6399	2	9967	35912
257	Environmental Monitoring and Assessment	0.6108	0.2081	3	9963	40444
258	Mathematical Problems in Engineering	0.6488	-0.5214	5	9957	10429
259	Australian Veterinary Journal	0.2076	0.5205	3	9904	11720
260	Molecular and Cellular Biochemistry	-0.1035	0.6232	2	9875	45922
262	Acta Oto-Laryngologica	-0.4766	0.4805	2	9826	34218
263	New Journal of Chemistry	1.3397	0.2953	4	9816	48862
264	Helvetica Chimica Acta	1.2817	0.3288	4	9813	37913
265	Biotechnology Letters	0.5755	0.4926	3	9811	37394
266	The Scientific World JOURNAL	0.184	0.2007	5	9811	19782
268	Modern Physics Letters A	1.575	-0.698	7	9795	36606
269	Biomedical Engineering / Biomedizinische Technik	-0.3749	0.4731	2	9773	2669
270	Contact Dermatitis	-0.2542	0.5923	2	9718	50076
271	Journal of Neurology	-0.445	0.3836	2	9687	49489
272	Geological Society London Special Publications	0.6968	-0.0148	3	9665	15624
273	European Journal of Pediatrics	-0.3638	0.4478	2	9658	33792
274	Journal of the American Oil Chemists Society	0.5564	0.4651	3	9650	35733
275	International Journal of Production Research	0.1774	-0.5932	5	9642	65196
276	Hyperfine Interactions	1.5459	-0.0808	4	9635	13637
277	Frontiers in Psychology	-0.7193	-0.4153	1	9587	24661
278	Journal of Forensic Sciences	-0.2638	0.3383	2	9572	28582
279	Desalination and Water Treatment	0.8596	0.2158	3	9560	13620
280	Polymer Engineering & Science	1.1984	0.1204	4	9552	45016
281	Allergy	-0.2589	0.5425	2	9547	61983
282	Annals of Surgical Oncology	-0.3601	0.6123	2	9541	66580
283	Applied Spectroscopy	0.9526	0.2847	4	9539	48492
284	Journal of Polymer Science Part B Polymer Physics	1.2071	0.1249	4	9515	50993
285	Acta Neurologica Scandinavica	-0.4421	0.3808	2	9508	31329
286	Sexually Transmitted Infections	-0.5302	-0.0864	1	9479	19960
287	Marine Biology	0.551	0.269	3	9415	70763
288	Pflügers Archiv - European Journal of Physiology	-0.1352	0.6105	2	9386	52822
289	Journal of Epidemiology & Community Health	-0.5535	-0.1605	1	9382	58164
291	European Radiology	-0.385	0.5273	2	9352	45232
292	Clinical Endocrinology	-0.3159	0.5046	2	9323	51962
293	Development	0.0246	0.7036	6	9319	117550
294	Journal of Surgical Oncology	-0.3604	0.611	2	9242	30876
295	Canadian Journal of Anesthesia/Journal canadien d anesthésie	-0.3883	0.4466	2	9178	15553
296	Macromolecular Chemistry and Physics	1.2138	0.1348	4	9157	35219
297	Histopathology	-0.3307	0.6305	2	9157	40624
298	Psychological Medicine	-0.6464	-0.2728	1	9153	95809
299	Materials Science and Technology	1.2603	-0.0282	4	9118	27831
300	Journal of Medical Virology	-0.2111	0.6207	2	9113	39656
301	Diabetic Medicine	-0.3235	0.4605	2	9103	52445
302	Journal of Statistical Physics	0.7137	-0.6055	5	9072	63325
303	Journal of Modern Optics	1.5471	-0.187	7	9058	21542
304	Clinical Chemistry and Laboratory Medicine (CCLM)	-0.2801	0.5534	2	9050	19137
305	Human Genetics	-0.2696	0.5556	2	9042	51895
