14	462	4
23	1066	2
23	1728	1
39	44	1
39	45	2
39	180	1
39	439	1
39	676	3
39	768	2
39	1232	1
39	2050	1
44	676	2
44	768	2
44	1499	1
44	2050	1
45	180	1
45	439	1
45	500	2
45	676	4
45	768	1
45	1232	2
45	1499	1
60	1597	1
133	672	1
133	931	1
180	256	2
180	399	2
180	638	1
180	676	1
180	678	5
180	768	1
180	960	4
180	1127	1
180	1232	1
180	1674	4
180	1675	1
180	1762	1
180	1837	1
180	1842	1
184	914	1
189	333	1
189	1728	1
189	1765	1
209	307	1
209	746	2
209	985	1
209	1597	1
209	1631	1
209	1765	1
209	1784	1
228	1069	1
228	1762	2
228	1849	1
228	1996	1
228	2025	1
251	359	2
251	594	1
251	1179	2
251	1457	1
251	1631	1
256	399	5
256	881	4
256	1674	2
256	1808	4
271	931	1
271	1404	1
271	1566	1
271	1631	1
271	1961	1
290	353	1
290	453	1
290	594	1
290	921	2
290	1002	1
290	1805	2
307	627	1
307	1179	1
307	1631	1
333	1728	1
333	1765	1
344	488	2
344	1069	2
344	1188	1
344	1681	1
344	1790	1
353	453	2
353	921	2
353	1803	1
359	594	1
359	1179	2
359	1457	2
359	1631	1
371	632	3
371	707	1
371	1048	3
371	1179	3
399	881	3
399	1674	2
399	1808	3
427	1513	1
427	1728	1
439	676	1
443	1855	1
443	1909	1
453	921	2
453	1803	1
462	1728	1
466	1449	2
471	638	2
471	1586	1
488	1681	1
488	1790	1
500	676	2
500	1232	1
500	1499	1
590	853	3
590	931	1
594	614	1
594	745	2
594	1179	1
594	1457	1
594	1520	1
594	1631	1
594	1805	1
594	1975	2
594	2009	1
600	931	1
627	1179	1
632	707	1
632	1048	3
632	1179	3
638	903	2
638	914	1
638	1394	2
638	1586	2
638	1675	1
638	1837	1
672	931	1
676	768	3
676	1232	2
676	1499	2
676	2050	1
678	1127	1
678	1842	1
707	1048	1
707	1179	2
732	1033	2
732	1657	1
737	1681	1
737	1790	1
745	1586	3
745	1975	5
745	2009	2
746	1765	1
768	1232	1
768	1499	1
768	2050	1
853	931	1
881	1808	4
887	1675	1
887	1676	5
903	914	1
903	1394	2
903	1586	1
914	1394	1
914	1586	1
921	1803	1
931	1168	1
931	1188	2
931	1404	2
931	1475	2
931	1566	3
931	1631	4
931	1765	2
960	1069	1
960	1168	1
960	1674	1
960	1762	1
960	2025	1
985	1597	1
985	1784	1
985	1849	1
1002	1805	1
1033	1657	1
1033	1769	1
1033	2036	2
1037	1078	2
1037	1961	2
1044	1449	1
1044	1855	1
1048	1179	3
1069	2025	2
1078	1961	2
1124	1289	2
1124	1676	2
1129	1676	2
1168	1631	1
1168	1765	1
1179	1457	1
1179	1631	1
1188	1475	2
1232	1499	1
1289	1676	2
1394	1586	1
1404	1566	2
1404	1631	1
1449	1805	1
1449	1855	1
1457	1631	1
1566	1631	2
1586	1975	3
1586	2009	1
1597	1784	1
1631	1765	1
1657	1901	1
1657	1975	1
1675	1837	1
1681	1790	2
1728	1765	2
1762	1849	1
1762	1996	1
1790	1803	1
1849	1996	2
1901	1975	1
1975	2009	2
