id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Publications>
1247	Univ Minnesota - Twin Cities	-0.1417	-0.6183	1	664	4303.9982	7942
1248	W Virginia Univ	-0.4308	-0.5085	1	323	636.9996	1391
1249	Vanderbilt Univ	-0.2627	-0.8756	1	623	3064.9996	5461
1251	Yale Univ	0.0979	-0.8803	1	663	4818.0001	8287
1253	Tulane Univ	-0.3786	-0.6937	1	381	816.9995	1643
1255	Columbia Univ	0.1808	-0.8742	1	657	5799.9999	9381
1258	Icahn Sch Med - Mt Sinai	0.1284	-1.0537	1	504	2231.9993	3707
1260	NYU	0.1957	-0.955	1	607	3555.9978	6317
1262	Yeshiva Univ	0.0913	-0.9739	1	471	1436.9997	2426
1263	Univ Delaware	-0.5354	-0.3806	1	473	901.9999	1792
1265	Univ Oklahoma	-0.3184	-0.567	1	497	1289.9979	2411
1266	Univ Notre Dame	0.0325	-0.2895	1	491	922.9999	1941
1269	Caltech	0.2389	-0.4688	1	559	2534.9999	3642
1270	Temple Univ	-0.1102	-0.8396	1	452	1241.9981	2211
1271	Thomas Jefferson Univ	-0.1242	-0.9313	1	357	910.9992	1608
1272	Univ Penn	-0.0446	-0.9521	1	634	5389.0007	9601
1274	Carnegie Mellon Univ	0.0974	-0.3516	1	499	1291.9992	2122
1275	Univ Pittsburgh	-0.2249	-0.812	1	636	4788.9986	8533
1276	Oregon Hlth & Sci Univ	-0.1416	-1.1078	1	433	1735.9994	2864
1277	Princeton Univ	0.1935	-0.5479	1	557	2102.0015	3489
1278	Brown Univ	0.0238	-0.8395	1	556	2213.9977	3679
1279	Brigham Young Univ	-0.1697	-0.4071	1	325	525.0001	1184
1280	Washington State Univ	-0.3083	-0.2034	1	457	997.9987	2091
1281	N Carolina State Univ Raleigh	-0.4395	-0.2332	1	502	1671.9976	3142
1282	Univ Nevada - Reno	-0.1921	-0.4586	1	264	404.9983	830
1283	Virginia Commonwealth Univ	-0.442	-0.7531	1	469	1282.9988	2505
1284	Univ Calif - Riverside	-0.1241	-0.1989	1	502	1034.9996	1980
1285	Univ Rochester	-0.1461	-0.7867	1	522	1842.9996	3135
1286	Univ Utah	-0.191	-0.7437	1	554	2451.9998	4572
1287	Univ Texas - San Antonio	-0.2572	-0.5756	1	338	525.9988	897
1288	Univ Calif - San Diego	0.1545	-0.6349	1	685	4975.9993	8227
1289	Univ Calif - San Francisco	-0.0361	-1.1049	1	587	5088.9985	8162
1290	Univ Calif - Santa Barbara	0.1141	-0.28	1	519	1478.9984	2531
1291	Univ Calif - Santa Cruz	0.1804	-0.4281	1	491	1044.9993	1561
1292	Univ Washington - Seattle	-0.0348	-0.7223	1	667	6154.9999	10541
1293	St Louis Univ	-0.551	-0.8666	1	303	676.9996	1271
1294	Washington Univ - St Louis	-0.5467	-0.9454	1	587	3178.999	5763
1296	Stanford Univ	0.1127	-0.8017	1	689	6450.0004	10686
1297	Oklahoma State Univ - Stillwater	-0.3129	-0.3061	1	379	659.9966	1244
1298	Stony Brook Univ - SUNY	-0.0127	-0.5764	1	545	1492.9988	2643
1299	Univ Connecticut	-0.2107	-0.6294	1	521	1558.0004	3159
1300	Syracuse Univ	0.0612	-0.4997	1	382	539.9989	1043
1301	Florida State Univ	-0.1042	-0.4143	1	510	1307.9998	2263
1302	Univ S Florida - Tampa	-0.5589	-0.5965	1	494	1561.9991	3087
1303	Arizona State Univ	-0.1296	-0.4679	1	528	1956.9984	3503
1304	Rensselaer Polytech Inst	-0.2595	-0.306	1	325	501	929
1305	Univ Arizona	-0.0747	-0.3655	1	627	2703.9993	4710
1306	Univ Alabama - Tuscaloosa	-0.3524	-0.4223	1	425	630.9987	1194
1307	Penn State Univ	-0.1553	-0.521	1	658	3541.9995	6611
1308	Univ Illinois - Urbana-Champaign	-0.1561	-0.2594	1	651	2861.9993	5405
1309	George Washington Univ	-0.1744	-0.8664	1	469	1319.9981	2412
1310	Georgetown Univ	-0.1964	-0.9248	1	427	918.9975	1788
1311	Wake Forest Univ	-0.6291	-0.8704	1	458	1315.9987	2308
1312	Univ Massachusetts Med Sch	0.0217	-1.0304	1	383	989.0002	1621
1315	Med Univ Graz	0.9781	0.2586	3	386	924.9991	1493
1316	Med Univ Innsbruck	1.0492	0.2545	3	380	811.9999	1340
1317	Med Univ Vienna	1.005	0.21	3	477	1905.9996	3254
1335	Griffith Univ	-0.4512	0.2089	11	426	1227.9972	2088
1336	RMIT Univ	-0.523	0.3363	11	263	658	1223
1337	Univ S Australia	-0.3243	0.4764	11	349	910.9979	1505
1338	Univ Technol - Sydney	-0.5791	0.2991	11	367	908.0008	1406
1339	Flinders Univ	-0.3695	0.4601	11	377	964.998	1574
1363	Univ Sains Malaysia	-0.1907	0.5718	5	195	567.9992	1669
1373	King Abdulaziz Univ	-0.1579	0.4358	5	631	2481.9988	3947
1374	King Saud Univ	-0.1777	0.5054	5	490	1523.9977	3461
1375	King Fahd Univ Petrol & Minerals	-0.1186	0.4815	5	163	291.9991	745
1379	Univ Sfax	0.4351	-0.3362	9	102	248.9995	799
1399	Karlsruhe Inst Technol	0.5863	0.3242	3	552	1659.0001	2829
1400	Aalto Univ	0.4585	0.4665	12	391	1011.9978	1804
1407	Northwestern Polytech Univ	-0.5456	-0.161	2	225	598.9987	1872
1408	Sichuan Univ	-0.827	-0.3817	2	486	1472.9984	5269
1409	Harbin Inst Technol	-0.7702	-0.0847	2	376	1432.9973	4000
1410	Dalian Univ Technol	-0.7217	-0.0955	2	320	1002.9992	2948
1411	Tianjin Univ	-0.7044	0.008	2	289	954.9992	3195
1412	Sun Yat-sen Univ	-0.9218	-0.2562	2	528	2301.9954	5466
1413	Xiamen Univ	-0.8041	-0.1859	2	355	1154.998	2571
1414	Beijing Normal Univ	-0.5532	-0.1054	2	381	1131.9986	2364
1415	China Agr Univ	-0.5859	-0.2059	2	288	725.9992	2010
1416	Tongji Univ	-0.9717	-0.1651	2	428	1794.9985	3722
1417	Shanghai Univ	-0.8414	0.094	2	274	839.9986	1882
1418	E China Univ Sci & Technol	-0.7613	0.1506	2	280	691.9984	2055
1419	Xi'an Jiaotong Univ	-0.7187	-0.2927	2	439	1601.9987	4453
1431	Univ Pretoria	0.2045	-0.1465	6	361	632.0018	1523
1432	Stellenbosch Univ	0.2496	-0.1954	6	441	886.9981	1753
1433	Univ Wollongong	-0.5346	0.262	11	388	927.9994	1682
1434	Univ Tasmania	-0.3023	0.3357	11	362	832.999	1517
1435	Queensland Univ Technol	-0.4669	0.1495	11	410	1132.9993	1946
1436	La Trobe Univ	-0.4413	0.4364	11	267	770.9994	1322
1437	Macquarie Univ	-0.326	0.2562	11	463	1128.9981	1833
1438	Univ Sherbrooke	0.0706	-0.1725	13	310	568.999	1083
1439	Concordia Univ	-0.0466	-0.052	13	269	472.9986	1066
1440	York Univ	-0.2073	0.0915	13	408	789.9963	1490
1441	Mem Univ Newfoundland	-0.1734	0.0345	13	348	502.9977	1024
1443	Nihon Univ	-0.768	0.6782	7	242	521.9976	1074
1444	Juntendo Univ	-0.8326	0.7311	7	215	501.9992	1027
